update,dout_sub_data1_moving_rms_50,dout_sub_data2_moving_rms_50
890,19.369490000,19.121081858
891,19.326931617,19.103872457
892,19.299184291,19.118206730
893,19.305572845,19.051335161
894,19.302935380,19.063556856
895,19.365610167,19.037112626
896,19.355332968,19.002216412
897,19.406131579,19.015954204
898,19.414044990,18.999957895
899,19.443324231,18.983439399
900,19.447482393,19.005205302
901,19.436616402,19.056508449
902,19.392455087,19.076235028
903,19.386039159,19.077852530
904,19.359837662,19.098972298
905,19.375053180,19.116721177
906,19.329092803,19.088237216
907,19.327404674,19.123203557
908,19.301247924,19.134919463
909,19.274302656,19.132796077
910,19.292618870,19.138007061
911,19.288628774,19.142031539
912,19.340326486,19.141064308
913,19.394782804,19.160757516
914,19.420472261,19.179742289
915,19.480830138,19.175186347
916,19.502445268,19.182935869
917,19.542688805,19.207549111
918,19.512533701,19.188713945
919,19.551011665,19.184377573
920,19.572204781,19.223512389
921,19.572981377,19.198151697
922,19.582076353,19.231836700
923,19.561878379,19.214101964
924,19.558588906,19.235482095
925,19.577687008,19.212793357
926,19.559652349,19.243685421
927,19.569153570,19.265014923
928,19.576572004,19.290154409
929,19.619890782,19.293086845
930,19.617816975,19.276840286
931,19.615710904,19.314533388
932,19.643014025,19.306591028
933,19.647644715,19.332752372
934,19.687132854,19.356141882
935,19.688415738,19.406384811
936,19.704926143,19.394773965
937,19.719513179,19.409034715
938,19.682441776,19.408843345
939,19.670195002,19.421625649
940,19.628803908,19.424947141
941,19.608613268,19.422184664
942,19.604649594,19.415513679
943,19.561188979,19.408810959
944,19.559757521,19.403183833
945,19.549135165,19.397440185
946,19.584935902,19.402653721
947,19.590615829,19.365996710
948,19.584218136,19.370959118
949,19.521375830,19.366580936
950,19.559205359,19.346757572
951,19.557092977,19.318932239
952,19.562269807,19.263967845
953,19.516589280,19.301443321
954,19.530281250,19.302248574
955,19.516211576,19.288234756
956,19.538749777,19.270350282
957,19.508635451,19.245971749
958,19.516884997,19.231581170
959,19.567205801,19.244739541
960,19.572660232,19.219504973
961,19.571842748,19.217233337
962,19.544715033,19.227316877
963,19.485044815,19.216029023
964,19.449045515,19.188785415
965,19.383848947,19.226805693
966,19.374649121,19.213762924
967,19.310615881,19.184606925
968,19.328267974,19.173478707
969,19.338736847,19.182438397
970,19.288545824,19.117372802
971,19.308529573,19.091820238
972,19.290717235,19.036398219
973,19.275894643,19.039540811
974,19.288699875,19.003341060
975,19.278227542,19.001446561
976,19.267138567,18.990903085
977,19.221544460,18.965499504
978,19.183078853,18.975704768
979,19.186927097,18.959511748
980,19.184735003,18.962419978
981,19.159803160,18.960180831
982,19.163113377,18.961663580
983,19.171028738,18.918121320
984,19.169004744,18.916245475
985,19.115483627,18.897757992
986,19.114759630,18.910114945
987,19.108836587,18.862040227
988,19.155128556,18.853488994
989,19.145962088,18.826828618
990,19.180882782,18.803026849
991,19.205034496,18.819284679
992,19.223862589,18.795759137
993,19.273780302,18.796327646
994,19.253131285,18.820143960
995,19.209318609,18.842071204
996,19.202168962,18.885722236
997,19.167898201,18.900563600
998,19.181901626,18.918845973
999,19.167585175,18.914922041
1000,19.114096954,18.874285092
